frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated
0	0.0008228570	0.0402389590	0.0144004722	0.1949834488	0.0000003621	0.1869208361	0.2496232421	0.4373669352	0.0000000000	0.0000000000	0.0000000000	0        	1
1	0.0003573981	0.0398642491	0.0111376110	0.1948234050	0.0000003329	0.0009720409	0.2458255980	0.2471550370	0.0000000000	0.0000000000	0.0000000000	0        	1
2	0.0004719128	0.0398520820	0.0107602100	0.2028110782	0.0000003858	0.0009614532	0.2534237560	0.2548571220	0.0000000000	0.0000000000	0.0000000000	0        	1
3	0.0003282111	0.0395601799	0.0098763669	0.1983087661	0.1848596069	0.0008543951	0.4326049199	0.4337875261	0.0000000000	0.0000000000	0.0000000000	0        	1
4	0.0005447660	0.0396480830	0.0279975049	0.1924722649	0.1835227162	0.1863872169	0.4436405690	0.6305725519	0.0000000000	0.0000000000	0.0000000000	1        	1
5	0.0003186071	0.0395729779	0.0242834291	0.1892182429	0.1830996291	0.0008600510	0.4361742791	0.4373529372	-0.0044033527	0.0014345646	0.0009350777	1        	1
6	0.0005812219	0.0394581400	0.0246806589	0.1918087921	0.1826135940	0.0008601791	0.4385611850	0.4400025860	-0.0028597116	0.0010733604	0.0000697374	1        	1
7	0.0003225829	0.0400628862	0.0250061548	0.1924241681	0.1825845109	0.0008639712	0.4400777200	0.4412642741	-0.0029616356	0.0005717278	0.0003674030	1        	1
8	0.0004935709	0.0395507521	0.0238516720	0.1922197989	0.1824802060	0.1854029039	0.4381024290	0.6239989039	-0.0042091608	0.0007398129	0.0002280474	1        	1
9	0.0003158301	0.0395166238	0.0240936910	0.1957993431	0.1824725210	0.0008655130	0.4418821789	0.4430635220	-0.0062565804	0.0000250340	0.0002703667	1        	1
10	0.0005415329	0.0395020822	0.0241832328	0.1930917192	0.1822699669	0.0008634089	0.4390470011	0.4404519428	-0.0061200857	0.0011765957	0.0008550882	1        	1
11	0.0003224518	0.0395195130	0.0225499470	0.1944763411	0.1824016159	0.0008700711	0.4389474171	0.4401399400	-0.0069133043	0.0004067421	0.0015645027	1        	1
12	0.0004928210	0.0397250829	0.0311561772	0.1930146809	0.1826265811	0.1852566109	0.4465225220	0.6322719539	-0.0068242550	0.0000526905	0.0007609129	1        	1
13	0.0003125782	0.0400978609	0.0250703942	0.1946823420	0.1828339489	0.0008663870	0.4426845459	0.4438635111	-0.0100191832	-0.0002312660	0.0013159513	1        	1
14	0.0003161489	0.0399524861	0.0250506909	0.1926713551	0.1828878601	0.0008695759	0.4405623921	0.4417481169	-0.0095462799	0.0007183552	0.0007405281	1        	1
15	0.0004457531	0.0398941969	0.0243456962	0.1925480969	0.1830396149	0.0008663731	0.4398276049	0.4411397311	-0.0133172274	0.0020394325	0.0015349388	1        	1
16	0.0003231640	0.0401687289	0.0295134180	0.1934370622	0.1831554919	0.1859403949	0.4462747010	0.6325382600	-0.0121378899	0.0004093647	0.0004671812	1        	1
17	0.0005534550	0.0402583000	0.0353498079	0.1931494761	0.1833308749	0.0008978019	0.4520884589	0.4535397158	-0.0147660971	-0.0012850761	-0.0010547638	1        	1
18	0.0003238239	0.0404414132	0.0292226709	0.1926319220	0.1833829531	0.0008720700	0.4456789591	0.4468748530	-0.0160415173	-0.0010716915	-0.0000128746	1        	1
19	0.0004693042	0.0406930130	0.0276090200	0.1959060330	0.1833012670	0.0008740788	0.4475093330	0.4488527160	-0.0175904036	-0.0009224415	-0.0004407167	1        	1
20	0.0003251419	0.0408906250	0.0333265760	0.1955854581	0.1835929828	0.1862318991	0.4533956419	0.6399526829	-0.0207778215	-0.0021901131	-0.0008231401	1        	1
21	0.0004813559	0.0411721221	0.0346410519	0.1927099261	0.1839839760	0.0008688010	0.4525070761	0.4538572330	-0.0236854553	-0.0012745857	-0.0004740953	1        	1
22	0.0003185929	0.0413319450	0.0352214400	0.1948894621	0.1841654130	0.0008662359	0.4556082601	0.4567930889	-0.0296022892	-0.0021123886	-0.0009407997	1        	1
23	0.0004913379	0.0416415001	0.0286138351	0.1976113229	0.1841310300	0.0008593290	0.4519976880	0.4533483549	-0.0291479826	-0.0029847622	-0.0025975704	1        	1
24	0.0003219540	0.0417351490	0.0340390750	0.1980638821	0.1842637749	0.1869164230	0.4581018810	0.6453402580	-0.0367721319	-0.0014646053	-0.0031934977	1        	1
25	0.0005295980	0.0419118390	0.0292917220	0.1965078178	0.1845488271	0.0008590259	0.4522602060	0.4536488298	-0.0383723974	-0.0000786781	-0.0039557219	1        	1
26	0.0003213070	0.0421444071	0.0253146850	0.1944900381	0.1847544669	0.0008618431	0.4467035970	0.4478867471	-0.0441527367	-0.0016400814	-0.0030533075	1        	1
27	0.0005181241	0.0422211380	0.0484866719	0.1979858971	0.1849394520	0.0008821450	0.4736331590	0.4750334281	-0.0496141911	-0.0023109913	-0.0052895546	1        	1
28	0.0003434590	0.0423704761	0.0279840901	0.1967489708	0.1854165152	0.1880959559	0.4525200522	0.6409594670	-0.0547004938	-0.0007889271	-0.0056347847	1        	1
29	0.0003117539	0.0428161270	0.0288743849	0.2002240380	0.1859024530	0.0008572151	0.4578170029	0.4589859720	-0.0600750446	-0.0004265308	-0.0083169937	1        	1
30	0.0005244210	0.0425237641	0.0311681898	0.1979986441	0.1859988009	0.0008558661	0.4576893989	0.4590696860	-0.0694530010	-0.0011508465	-0.0063410997	1        	1
31	0.0003646640	0.0425337949	0.0245794891	0.1975817499	0.1865473450	0.0008577171	0.4512423789	0.4524647600	-0.0775060654	-0.0004718304	-0.0082556009	1        	1
32	0.0004594710	0.0425576488	0.0419038262	0.1975293849	0.1869848731	0.1897476190	0.4689757330	0.6591828230	-0.0828195810	-0.0001206398	-0.0104761124	1        	1
33	0.0003214439	0.0428921902	0.0313393699	0.2014111120	0.1878969399	0.0008573171	0.4635396120	0.4647183730	-0.0900087357	-0.0004193783	-0.0107918978	1        	1
