frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated
0	0.0008388499	0.0402392060	0.0122500099	0.1939889679	0.0000004771	0.1874714270	0.2464786610	0.4347889379	0.0000000000	0.0000000000	0.0000000000	0        	1
1	0.0003643718	0.0398668770	0.0102596851	0.1936695199	0.0000003180	0.0009711930	0.2437964000	0.2451319648	0.0000000000	0.0000000000	0.0000000000	0        	1
2	0.0005001200	0.0398736869	0.0100622931	0.1938533480	0.0000003239	0.0009611750	0.2437896519	0.2452509468	0.0000000000	0.0000000000	0.0000000000	0        	1
3	0.0003360859	0.0395595080	0.0084447670	0.1948220660	0.1852602852	0.0008554270	0.4280866261	0.4292781390	0.0000000000	0.0000000000	0.0000000000	0        	1
4	0.0005803690	0.0396344610	0.0257986409	0.1914182580	0.1835127859	0.1860687830	0.4403641459	0.6270132980	0.0000000000	0.0000000000	0.0000000000	1        	1
5	0.0003506890	0.0395248269	0.0225759579	0.1930845811	0.1833720820	0.0008633169	0.4385574479	0.4397714538	-0.0044033527	0.0014345646	0.0009350777	1        	1
6	0.0005814841	0.0394705511	0.0266998250	0.1914756880	0.1826496390	0.0008638089	0.4402957030	0.4417409960	-0.0028597116	0.0010733604	0.0000697374	1        	1
7	0.0003348091	0.0395558949	0.0225456590	0.1911298661	0.1826429749	0.0008592461	0.4358743948	0.4370684500	-0.0029616356	0.0005717278	0.0003674030	1        	1
8	0.0005406379	0.0399814781	0.0231931270	0.1937085879	0.1825057371	0.1850862370	0.4393889301	0.6250158050	-0.0042091608	0.0007398129	0.0002280474	1        	1
9	0.0003115449	0.0395223959	0.0246976600	0.1927958052	0.1829660649	0.0008662001	0.4399819260	0.4411596709	-0.0062565804	0.0000250340	0.0002703667	1        	1
10	0.0005906469	0.0395035471	0.0273875480	0.1933333620	0.1823624240	0.0008903299	0.4425868811	0.4440678579	-0.0061200857	0.0011765957	0.0008550882	1        	1
11	0.0003878521	0.0394903598	0.0238494850	0.1918454531	0.1825037790	0.0008608659	0.4376890769	0.4389377949	-0.0069133043	0.0004067421	0.0015645027	1        	1
12	0.0005665261	0.0397042891	0.0312046029	0.1903017121	0.1827475610	0.1852690999	0.4439581651	0.6297937911	-0.0068242550	0.0000526905	0.0007609129	1        	1
13	0.0003395751	0.0396970299	0.0247853571	0.1926576269	0.1829662661	0.0008696332	0.4401062799	0.4413154882	-0.0100191832	-0.0002312660	0.0013159513	1        	1
14	0.0003277939	0.0403863941	0.0232060750	0.1917858829	0.1829804422	0.0008621579	0.4383587942	0.4395487460	-0.0095462799	0.0007183552	0.0007405281	1        	1
15	0.0005546319	0.0398757290	0.0232098470	0.1918329101	0.1830614030	0.0008660119	0.4379798891	0.4394005330	-0.0133172274	0.0020394325	0.0015349388	1        	1
16	0.0003315501	0.0401685550	0.0294876569	0.1922213251	0.1832244028	0.1857743151	0.4451019398	0.6312078051	-0.0121378899	0.0004093647	0.0004671812	1        	1
