frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated
0	0.0008863129	0.0403422541	0.0062133749	0.1882993469	0.0000001190	0.1865286590	0.2348550949	0.4222700668	0.0000000000	0.0000000000	0.0000000000	0        	1
1	0.0003583720	0.0399853361	0.0047371560	0.1883482239	0.0000001290	0.0009532680	0.2330708450	0.2343824850	0.0000000000	0.0000000000	0.0000000000	0        	1
2	0.0004860240	0.0399790760	0.0047241149	0.1892437150	0.0000001499	0.0009532662	0.2339470559	0.2353863460	0.0000000000	0.0000000000	0.0000000000	0        	1
3	0.0003865620	0.0396628131	0.0047323639	0.1898622559	0.1175103690	0.0014883950	0.3517678019	0.3536427589	0.0000000000	0.0000000000	0.0000000000	0        	1
4	0.0006282958	0.0450499041	0.0213457858	0.1942711461	0.1148026590	0.1933571829	0.3754694951	0.5694549738	0.0000000000	0.0000000000	0.0000000000	1        	1
5	0.0003650161	0.0396279499	0.0165587792	0.1899491060	0.1150763759	0.0015891041	0.3612122110	0.3631663311	-0.0044033527	0.0014345646	0.0009350777	1        	1
6	0.0006245710	0.0434842731	0.0178711871	0.1907613350	0.1162490898	0.0009576771	0.3683658850	0.3699481331	-0.0028597116	0.0010733604	0.0000697374	1        	1
7	0.0003442031	0.0418511680	0.0174605229	0.1891202079	0.1161041211	0.0015707421	0.3645360200	0.3664509652	-0.0029616356	0.0005717278	0.0003674030	1        	1
8	0.0006412701	0.0453946081	0.0169791118	0.1947478740	0.1160577221	0.1886082338	0.3731793161	0.5624288199	-0.0042091608	0.0007398129	0.0002280474	1        	1
9	0.0003163558	0.0396503122	0.0174217119	0.1898682991	0.1163676090	0.0009459308	0.3633079322	0.3645702188	-0.0062565804	0.0000250340	0.0002702475	1        	1
10	0.0005481730	0.0402121269	0.0178426050	0.1949411680	0.1154881150	0.0015284349	0.3684840149	0.3705606228	-0.0061200857	0.0011765957	0.0008550882	1        	1
11	0.0003947201	0.0413845580	0.0178016950	0.1892711769	0.1159221060	0.0009549251	0.3643795359	0.3657291811	-0.0069133043	0.0004067421	0.0015643835	1        	1
12	0.0005183259	0.0420228930	0.0240152860	0.1908431731	0.1169896971	0.1920456740	0.3738710491	0.5664350491	-0.0068243742	0.0000529289	0.0007609129	1        	1
13	0.0003161381	0.0402463919	0.0174186169	0.1898342751	0.1168314950	0.0015695191	0.3643307788	0.3662164360	-0.0100191832	-0.0002312660	0.0013158321	1        	1
14	0.0004106509	0.0425937602	0.0178193999	0.1898887779	0.1189185940	0.0015221080	0.3692205320	0.3711532908	-0.0095463991	0.0007185936	0.0007405281	1        	1
