frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated
0	0.0008765371	0.0403578929	0.0056887702	0.2000544260	0.0000001669	0.1866671869	0.2461012560	0.4336449800	0.0000000000	0.0000000000	0.0000000000	0        	1
1	0.0003185519	0.0400504251	0.0047261249	0.1912915499	0.0000001062	0.0009730710	0.2360682061	0.2373598290	0.0000000000	0.0000000000	0.0000000000	0        	1
2	0.0004887469	0.0399807780	0.0047270360	0.1923495510	0.0000001101	0.0009712889	0.2370574751	0.2385175109	0.0000000000	0.0000000000	0.0000000000	0        	1
3	0.0003314191	0.0397038809	0.0047142920	0.1899323640	0.1180769370	0.0015416450	0.3524274740	0.3543005381	0.0000000000	0.0000000000	0.0000000000	0        	1
4	0.0006301941	0.0429624671	0.0208059479	0.1937730529	0.1186996421	0.1885819859	0.3762411100	0.5654532900	0.0000000000	0.0000000000	0.0000000000	1        	1
5	0.0003581380	0.0396203669	0.0165314800	0.1916486791	0.1165736918	0.0015851841	0.3643742178	0.3663175399	-0.0044033527	0.0014345646	0.0009350777	1        	1
6	0.0006414729	0.0422293320	0.0174223811	0.1928095799	0.1164669232	0.0015748178	0.3689282162	0.3711445068	-0.0028597116	0.0010733604	0.0000697374	1        	1
7	0.0003985311	0.0466383761	0.0175306899	0.1917978800	0.1154520081	0.0015639719	0.3714189541	0.3733814571	-0.0029616356	0.0005717278	0.0003674030	1        	1
8	0.0006529121	0.0446804890	0.0166723849	0.1949231359	0.1158586950	0.1885185612	0.3721347048	0.5613061781	-0.0042091608	0.0007398129	0.0002280474	1        	1
9	0.0003147740	0.0396585478	0.0173979290	0.1915614901	0.1157423051	0.0009484640	0.3643602720	0.3656235100	-0.0062565804	0.0000250340	0.0002702475	1        	1
10	0.0005523942	0.0445004890	0.0174810479	0.1924580201	0.1145147379	0.0015237092	0.3689542948	0.3710303982	-0.0061200857	0.0011765957	0.0008550882	1        	1
11	0.0003976419	0.0457641240	0.0175060639	0.1916825022	0.1159021489	0.0009537979	0.3708548390	0.3722062788	-0.0069133043	0.0004067421	0.0015643835	1        	1
12	0.0005070381	0.0430751969	0.0234364250	0.1937704082	0.1149672980	0.1899519518	0.3752493281	0.5657083180	-0.0068243742	0.0000529289	0.0007609129	1        	1
13	0.0003125940	0.0399396010	0.0178410450	0.1926129919	0.1165784500	0.0009257081	0.3669720879	0.3682103900	-0.0100191832	-0.0002312660	0.0013158321	1        	1
14	0.0003305369	0.0411983340	0.0174883192	0.1944966000	0.1160687439	0.0015114651	0.3692519970	0.3710939989	-0.0095463991	0.0007185936	0.0007405281	1        	1
15	0.0006195391	0.0473952440	0.0174753151	0.1910355829	0.1151418320	0.0009346548	0.3710479741	0.3726021680	-0.0133172274	0.0020396709	0.0015349388	1        	1
16	0.0003286100	0.0445837800	0.0226974180	0.1925099292	0.1172502590	0.1909900568	0.3770413862	0.5683600530	-0.0121377707	0.0004096031	0.0004670620	1        	1
17	0.0005094390	0.0404024839	0.0260552191	0.1933199819	0.1182751141	0.0015772278	0.3780527990	0.3801394659	-0.0147659779	-0.0012848377	-0.0010547638	1        	1
18	0.0004026522	0.0474448078	0.0210114240	0.1930734511	0.1195914641	0.0009553910	0.3811211470	0.3824791901	-0.0160404444	-0.0010712147	-0.0000127554	1        	1
19	0.0005021489	0.0449715762	0.0234977319	0.1944060831	0.1210456099	0.0015675700	0.3839210011	0.3859907200	-0.0175899267	-0.0009217262	-0.0004413128	1        	1
20	0.0003926291	0.0434050029	0.0262305390	0.1935154940	0.1220840360	0.1959824881	0.3852350719	0.5816101891	-0.0207782984	-0.0021896362	-0.0008232594	1        	1
21	0.0004879069	0.0414194621	0.0269591189	0.1949806171	0.1220496939	0.0015770481	0.3854088921	0.3874738470	-0.0236852169	-0.0012738705	-0.0004744530	1        	1
22	0.0003917741	0.0494944709	0.0296885790	0.1950033950	0.1223003531	0.0015705749	0.3964867981	0.3984491471	-0.0296031237	-0.0021114349	-0.0009411573	1        	1
23	0.0006260050	0.0451342440	0.0210641089	0.1948456380	0.1204672589	0.0009537591	0.3815112498	0.3830910139	-0.0291488171	-0.0029838085	-0.0025978088	1        	1
24	0.0003338880	0.0472665241	0.0279909088	0.1942535192	0.1197431260	0.1927184889	0.3892540780	0.5823064549	-0.0367723703	-0.0014641285	-0.0031937361	1        	1
25	0.0005336490	0.0420290579	0.0209776380	0.1960035190	0.1222797460	0.0009224920	0.3812899608	0.3827461018	-0.0383725166	-0.0000779629	-0.0039558411	1        	1
26	0.0003299292	0.0449538538	0.0176766762	0.2002915400	0.1244412370	0.0009099210	0.3873633069	0.3886031571	-0.0441523790	-0.0016400814	-0.0030534267	1        	1
27	0.0005161669	0.0455971230	0.0202884329	0.1958774051	0.1250084739	0.0009553412	0.3867714349	0.3882429430	-0.0496140718	-0.0023100376	-0.0052896738	1        	1
28	0.0003320070	0.0467449359	0.0203266141	0.1973754510	0.1245933210	0.1946078900	0.3890403220	0.5839802190	-0.0546830893	-0.0007932186	-0.0056347847	1        	1
29	0.0003094620	0.0425504781	0.0211010650	0.1961224850	0.1279415491	0.0015627639	0.3877155771	0.3895878030	-0.0600690842	-0.0004267693	-0.0083172321	1        	1
30	0.0006377739	0.0465926032	0.0273226758	0.1974764171	0.1270318520	0.0015575110	0.3984235481	0.4006188330	-0.0694810152	-0.0011460781	-0.0063405037	1        	1
31	0.0004048841	0.0463713459	0.0177086531	0.1968200321	0.1269876519	0.0015671530	0.3878876830	0.3898597201	-0.0775009394	-0.0004744530	-0.0082561970	1        	1
32	0.0006328139	0.0516050952	0.0342169108	0.2052176092	0.1271642859	0.1941469510	0.4182039010	0.6129836659	-0.0828291178	-0.0001137257	-0.0104734898	1        	1
33	0.0003097560	0.0426685421	0.0246389299	0.1983779601	0.1299217290	0.0009511579	0.3956071611	0.3968680750	-0.0901193619	-0.0004119873	-0.0107917786	1        	1
34	0.0005149369	0.0448869641	0.0239289980	0.1978476879	0.1334543012	0.0009471138	0.4001179512	0.4015800019	-0.1180280447	-0.0011112690	-0.0111559629	1        	1
35	0.0003281150	0.0438408821	0.0213453691	0.2001639570	0.1310674110	0.0015128220	0.3964176192	0.3982585561	-0.1214863062	-0.0003223419	-0.0138057470	1        	1
