frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated
0	0.0008694821	0.0402376798	0.0132000342	0.2025640269	0.0000003350	0.1862565100	0.2560020760	0.4431280680	0.0000000000	0.0000000000	0.0000000000	0        	1
1	0.0003236269	0.0398827030	0.0107574121	0.1992550390	0.0000003239	0.0009482710	0.2498954779	0.2511673758	0.0000000000	0.0000000000	0.0000000000	0        	1
2	0.0005874611	0.0398620241	0.0108641440	0.2055750119	0.0000003260	0.0009383461	0.2563015060	0.2578273132	0.0000000000	0.0000000000	0.0000000000	0        	1
3	0.0003376261	0.0395679839	0.0113031149	0.2069282271	0.1844024179	0.0008841110	0.4422017438	0.4434234810	0.0000000000	0.0000000000	0.0000000000	0        	1
4	0.0004989419	0.0396633670	0.0496289290	0.2102872471	0.1829281219	0.1858287181	0.4825076649	0.6688353249	0.0000000000	0.0000000000	0.0000000000	1        	1
5	0.0003268011	0.0395654889	0.0396065800	0.2042387859	0.1824803420	0.0008605332	0.4658911969	0.4670785312	-0.0044033527	0.0014350414	0.0009350777	1        	1
6	0.0005222810	0.0394904180	0.0448821159	0.2065286010	0.1835537280	0.0008694520	0.4744548630	0.4758465961	-0.0028598309	0.0010735989	0.0000697374	1        	1
7	0.0003372659	0.0395601392	0.0447385879	0.2054185451	0.1819997858	0.0008550291	0.4717170580	0.4729093530	-0.0029617548	0.0005719662	0.0003675222	1        	1
8	0.0005263330	0.0395305669	0.0426791511	0.2057405668	0.1823099642	0.1843092360	0.4702602490	0.6550958180	-0.0042092800	0.0007400513	0.0002282858	1        	1
9	0.0003169640	0.0395317341	0.0420901419	0.1949188160	0.1819159270	0.0008866221	0.4584566189	0.4596602051	-0.0062557459	0.0000245571	0.0002706051	1        	1
10	0.0005941270	0.0395224760	0.0467468270	0.2054216771	0.1829077438	0.0008921460	0.4745987239	0.4760849969	-0.0061188936	0.0011763573	0.0008553267	1        	1
