frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated
0	0.0008454539	0.0402773460	0.0135140580	0.2029613720	0.0000003001	0.1863141181	0.2567530761	0.4439126481	0.0000000000	0.0000000000	0.0000000000	0        	1
1	0.0003100750	0.0399622412	0.0098460289	0.1971642731	0.0000003420	0.0009921028	0.2469728852	0.2482750630	0.0000000000	0.0000000000	0.0000000000	0        	1
2	0.0005415902	0.0399382059	0.0097322420	0.1949665451	0.0000003281	0.0009255179	0.2446373210	0.2461044290	0.0000000000	0.0000000000	0.0000000000	0        	1
3	0.0003889371	0.0396517420	0.0088706540	0.1981133400	0.1844337760	0.0008573970	0.4310695119	0.4323158460	0.0000000000	0.0000000000	0.0000000000	0        	1
4	0.0004695528	0.0397023172	0.0499861799	0.2070747139	0.1844387241	0.1855326870	0.4812019351	0.6672041749	0.0000000000	0.0000000000	0.0000000000	1        	1
5	0.0003145130	0.0396120350	0.0399520008	0.2044699301	0.1826656889	0.0008886061	0.4666996549	0.4679027740	-0.0044033527	0.0014350414	0.0009350777	1        	1
6	0.0005153411	0.0395477340	0.0438329519	0.2062865309	0.1822943371	0.0008575860	0.4719615539	0.4733344810	-0.0028598309	0.0010735989	0.0000697374	1        	1
7	0.0003957301	0.0397361468	0.0448900720	0.2010030281	0.1822568511	0.0008653430	0.4678860980	0.4691471711	-0.0029617548	0.0005719662	0.0003675222	1        	1
8	0.0004810470	0.0396146590	0.0425303101	0.2073005040	0.1834744150	0.1844940409	0.4729198881	0.6578949760	-0.0042092800	0.0007400513	0.0002282858	1        	1
9	0.0003455251	0.0395843140	0.0460951510	0.2058142789	0.1821033892	0.0008879050	0.4735971331	0.4748305632	-0.0062557459	0.0000245571	0.0002706051	1        	1
10	0.0005443981	0.0396289211	0.0428196250	0.1982963448	0.1819412140	0.0008909411	0.4626861049	0.4641214442	-0.0061188936	0.0011763573	0.0008553267	1        	1
11	0.0003273620	0.0395774650	0.0466732611	0.2037303119	0.1820700059	0.0008934990	0.4720510440	0.4732719050	-0.0069129467	0.0004067421	0.0015646219	1        	1
12	0.0005004050	0.0398054961	0.0583915128	0.2047711550	0.1823153992	0.1846672969	0.4852835631	0.6704512651	-0.0068243742	0.0000526905	0.0007611513	1        	1
13	0.0003336910	0.0397937710	0.0446760249	0.1988193551	0.1824913099	0.0008869530	0.4657804610	0.4670011050	-0.0100193024	-0.0002312660	0.0013161898	1        	1
14	0.0003849771	0.0399910579	0.0465511100	0.2027434581	0.1824953218	0.0008676220	0.4717809479	0.4730335469	-0.0095467567	0.0007188320	0.0007410049	1        	1
15	0.0004488628	0.0399329842	0.0472377599	0.2004716890	0.1827304980	0.0008596361	0.4703729311	0.4716814300	-0.0133174658	0.0020396709	0.0015351772	1        	1
16	0.0003699230	0.0401995070	0.0569097141	0.2029549349	0.1836188331	0.1852206308	0.4836829891	0.6692735429	-0.0121372938	0.0004093647	0.0004673004	1        	1
17	0.0004687780	0.0403609041	0.0646947029	0.2008864831	0.1831704550	0.0009061159	0.4891125450	0.4904874389	-0.0147656202	-0.0012848377	-0.0010545254	1        	1
18	0.0003359329	0.0404834661	0.0520361478	0.2060526242	0.1830366899	0.0008975451	0.4816089279	0.4828424060	-0.0160404444	-0.0010712147	-0.0000125170	1        	1
19	0.0004647481	0.0407222339	0.0599234451	0.2057898899	0.1830858169	0.0009040751	0.4895213859	0.4908902091	-0.0175901651	-0.0009219646	-0.0004409552	1        	1
20	0.0003300670	0.0413977110	0.0552766530	0.2082312310	0.1832974891	0.1856994119	0.4882030841	0.6742325630	-0.0207785368	-0.0021898746	-0.0008227825	1        	1
21	0.0004592189	0.0412377790	0.0650002370	0.2099350882	0.1841163270	0.0008661789	0.5002894311	0.5016148288	-0.0236855745	-0.0012741089	-0.0004739761	1        	1
22	0.0003252430	0.0413533670	0.0629818221	0.2055357399	0.1841146441	0.0008912159	0.4939855731	0.4952020319	-0.0296037197	-0.0021119118	-0.0009405613	1        	1
23	0.0004899348	0.0416347021	0.0476743870	0.2103425250	0.1844323780	0.0008572808	0.4840839922	0.4854312078	-0.0291504860	-0.0029842854	-0.0025973320	1        	1
24	0.0003797200	0.0417589571	0.0608145220	0.2093495750	0.1842623819	0.1866570390	0.4961854359	0.6832221949	-0.0367740393	-0.0014643669	-0.0031933784	1        	1
25	0.0004684029	0.0419429981	0.0486880860	0.2046961631	0.1844823440	0.0008805590	0.4798095911	0.4811585529	-0.0383737087	-0.0000782013	-0.0039560795	1        	1
26	0.0003258069	0.0422287250	0.0432786529	0.2095311540	0.1848823000	0.0008853441	0.4799208320	0.4811319830	-0.0441533327	-0.0016400814	-0.0030534267	1        	1
27	0.0005287360	0.0423110339	0.0842787810	0.2074878551	0.1851040998	0.0008721652	0.5191817698	0.5205826710	-0.0496131182	-0.0023100376	-0.0052896738	1        	1
28	0.0003299320	0.0423732980	0.0450703369	0.2070671262	0.1856332629	0.1880847320	0.4801440239	0.6685586879	-0.0547034740	-0.0007889271	-0.0056344271	1        	1
29	0.0003344789	0.0428880330	0.0474656450	0.2088030251	0.1860875750	0.0008578720	0.4852442781	0.4864366290	-0.0600762367	-0.0004255772	-0.0083163977	1        	1
30	0.0004785128	0.0425544020	0.0513196220	0.2105028990	0.1861748090	0.0008602270	0.4905517320	0.4918904719	-0.0694513321	-0.0011515617	-0.0063403845	1        	1
31	0.0003258719	0.0426050730	0.0422612561	0.2157158761	0.1868000808	0.0008496540	0.4873822860	0.4885578118	-0.0775058270	-0.0004715919	-0.0082544088	1        	1
32	0.0005582410	0.0425804672	0.0718008238	0.2058866401	0.1871879769	0.1899298790	0.5074559080	0.6979440281	-0.0828175545	-0.0001201630	-0.0104752779	1        	1
33	0.0003374382	0.0426616028	0.0422187161	0.2089244640	0.1880920909	0.0008572992	0.4818968738	0.4830916112	-0.0900051594	-0.0004189014	-0.0107911825	1        	1
34	0.0005553160	0.0426899919	0.0565527892	0.2082261110	0.1893270160	0.0008852149	0.4967959081	0.4982364390	-0.1180177927	-0.0011096001	-0.0111554861	1        	1
35	0.0003262490	0.0426736779	0.0484917380	0.2089641420	0.1890070229	0.0008517581	0.4891365808	0.4903145880	-0.1214780807	-0.0003242493	-0.0138038397	1        	1
36	0.0004970850	0.0426086579	0.0460220082	0.2082184658	0.1895336162	0.1909893870	0.4863827480	0.6778692200	-0.1265951395	0.0005421638	-0.0155515671	1        	1
37	0.0003114881	0.0426317630	0.0394079341	0.2068685510	0.1893780308	0.0008494782	0.4782862789	0.4794472451	-0.1379182339	-0.0014283657	-0.0143220425	1        	1
38	0.0005411140	0.0426516351	0.0400071240	0.2115343020	0.1897581159	0.0008544330	0.4839511770	0.4853467240	-0.1486170292	-0.0021603107	-0.0135713816	1        	1
39	0.0003251699	0.0427553430	0.0420944490	0.2113610979	0.1900432862	0.0008507448	0.4862541761	0.4874300908	-0.1521346569	-0.0029518604	-0.0169782639	1        	1
40	0.0005665079	0.0428276150	0.0579289270	0.2140827179	0.1904794960	0.1921581661	0.5053187560	0.6980434300	-0.1617522240	-0.0045895576	-0.0162593126	1        	1
41	0.0003552360	0.0429169040	0.0530821981	0.2147377559	0.1907902011	0.0008719680	0.5015270591	0.5027542631	-0.1722598076	-0.0057065487	-0.0145376921	1        	1
42	0.0003564891	0.0429965430	0.0375058879	0.2133815410	0.1906290872	0.0008498880	0.4845130590	0.4857194361	-0.1852977276	-0.0042014122	-0.0122989416	1        	1
43	0.0004640622	0.0430091249	0.0459012131	0.2120760349	0.1906949370	0.0008513301	0.4916813099	0.4929967022	-0.1921429634	-0.0037879944	-0.0089740753	1        	1
44	0.0003225750	0.0430881470	0.0463376620	0.2109230889	0.1905965460	0.1923267771	0.4909454440	0.6835947961	-0.1988766193	-0.0043094158	-0.0110753775	1        	1
45	0.0004711640	0.0430621691	0.0424598460	0.2082000920	0.1910108509	0.0008595721	0.4847329580	0.4860636941	-0.2067176104	-0.0024013519	-0.0073615313	1        	1
46	0.0003208190	0.0430034460	0.0432485791	0.2156856270	0.1909079831	0.0008560780	0.4928456352	0.4940225321	-0.2126924992	-0.0018155575	-0.0072633028	1        	1
47	0.0004822849	0.0430114600	0.0394150680	0.2147074770	0.1911594181	0.0008634420	0.4882934231	0.4896391500	-0.2157819271	-0.0035765171	-0.0075588226	1        	1
48	0.0003236821	0.0430124698	0.0450574812	0.2142391060	0.1910820459	0.1927848461	0.4933911029	0.6864996310	-0.2203465700	-0.0038452148	-0.0064823627	1        	1
49	0.0004925649	0.0429310680	0.0451597681	0.2153280941	0.1912389249	0.0008503271	0.4946578550	0.4960007470	-0.2282364368	-0.0026319027	-0.0056742430	1        	1
50	0.0003317720	0.0429172709	0.0441662280	0.2123302100	0.1911920689	0.0008531411	0.4906057778	0.4917906909	-0.2426671982	-0.0029644966	-0.0007623434	1        	1
51	0.0005327850	0.0428341131	0.0496240060	0.2161158039	0.1914298730	0.0008486940	0.5000037961	0.5013852750	-0.2401304245	-0.0029995441	-0.0037447214	1        	1
