frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated
0	0.0008467531	0.0410520060	0.0059396180	0.1910035161	0.0000003739	0.0930427930	0.2379955139	0.3318850601	0.0000000000	0.0000000000	0.0000000000	0        	1
1	0.0004743638	0.0438565621	0.0047228751	0.1904760639	0.0000003770	0.0945833512	0.2390558780	0.3341135930	0.0000000000	0.0000000000	0.0000000000	0        	1
2	0.0006897061	0.0415469829	0.0047062009	0.1912824539	0.0000003560	0.0938672752	0.2375359938	0.3320929750	0.0000000000	0.0000000000	0.0000000000	0        	1
3	0.0004436250	0.0455149219	0.0047285561	0.1901745719	0.1853654529	0.0924969560	0.4257835029	0.5187240839	0.0000000000	0.0000000000	0.0000000000	0        	1
4	0.0006919480	0.0408325221	0.0209472659	0.1978007359	0.1839890461	0.0922949449	0.4435695701	0.5365564630	0.0000000000	0.0000000000	0.0000000000	1        	1
5	0.0003876251	0.0425472399	0.0166183701	0.1924186919	0.1837161370	0.0908071459	0.4353004389	0.5264952099	-0.0044033527	0.0014345646	0.0009350777	1        	1
6	0.0006763779	0.0442323780	0.0176298229	0.1945802281	0.1831260880	0.0923158510	0.4395685170	0.5325607460	-0.0028597116	0.0010733604	0.0000697374	1        	1
7	0.0003873680	0.0430596340	0.0175064479	0.1900995700	0.1835026052	0.0881595409	0.4341682571	0.5227151660	-0.0029616356	0.0005717278	0.0003674030	1        	1
8	0.0006523100	0.0468039210	0.0166595550	0.1964851839	0.1829713681	0.0919077410	0.4429200280	0.5354800790	-0.0042091608	0.0007398129	0.0002280474	1        	1
9	0.0004403580	0.0439476359	0.0175100260	0.1939017242	0.1833042419	0.0922417371	0.4386636280	0.5313457230	-0.0062565804	0.0000250340	0.0002703667	1        	1
10	0.0006540830	0.0431026951	0.0174941418	0.1958371662	0.1828126500	0.0909575890	0.4392466531	0.5308583251	-0.0061200857	0.0011765957	0.0008550882	1        	1
11	0.0003836330	0.0424610570	0.0174949232	0.1907250390	0.1833244709	0.0887993260	0.4340054900	0.5231884490	-0.0069133043	0.0004067421	0.0015645027	1        	1
12	0.0006185011	0.0411050511	0.0235517330	0.1914394249	0.1831545031	0.0922605719	0.4392507121	0.5321297850	-0.0068242550	0.0000526905	0.0007609129	1        	1
13	0.0004121638	0.0453366151	0.0174903329	0.1909898911	0.1833907471	0.0915661659	0.4372075861	0.5291859158	-0.0100191832	-0.0002312660	0.0013159513	1        	1
14	0.0004445461	0.0459369980	0.0174794490	0.1898177241	0.1834035220	0.0920740380	0.4366376931	0.5291562772	-0.0095462799	0.0007183552	0.0007405281	1        	1
15	0.0006392698	0.0409169642	0.0174799510	0.1903599049	0.1835283940	0.0923670731	0.4322852141	0.5252915570	-0.0133172274	0.0020394325	0.0015349388	1        	1
16	0.0003869680	0.0436608160	0.0226974748	0.1916643782	0.1836807260	0.0930211369	0.4417033950	0.5351115000	-0.0121378899	0.0004093647	0.0004671812	1        	1
17	0.0006664230	0.0462772620	0.0261920050	0.1911863429	0.1838079439	0.0936373561	0.4474635539	0.5417673329	-0.0147660971	-0.0012850761	-0.0010547638	1        	1
18	0.0003814239	0.0454803200	0.0209725511	0.1925818950	0.1838908501	0.0947710739	0.4429256162	0.5380781139	-0.0160415173	-0.0010716915	-0.0000128746	1        	1
19	0.0006754340	0.0469863261	0.0201278729	0.1907178070	0.1839171050	0.0932509361	0.4417491111	0.5356754812	-0.0175904036	-0.0009224415	-0.0004407167	1        	1
20	0.0003823622	0.0437897998	0.0262052470	0.1913044699	0.1841373981	0.0944143920	0.4454369149	0.5402336691	-0.0207778215	-0.0021901131	-0.0008231401	1        	1
21	0.0007426639	0.0438912732	0.0270989698	0.1904225992	0.1845623199	0.0951805571	0.4459751621	0.5418983831	-0.0236854553	-0.0012745857	-0.0004740953	1        	1
22	0.0003772930	0.0431544972	0.0296567080	0.1913454388	0.1853103840	0.0953921760	0.4494670280	0.5452364970	-0.0296022892	-0.0021123886	-0.0009407997	1        	1
