frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated
0	0.0008292960	0.0410773889	0.0054569780	0.1882238591	0.0000003390	0.0313479512	0.2347585650	0.2669358121	0.0000000000	0.0000000000	0.0000000000	0        	1
1	0.0003812890	0.0449171918	0.0047358260	0.1895889260	0.0000003600	0.0309863801	0.2392423039	0.2706099730	0.0000000000	0.0000000000	0.0000000000	0        	1
2	0.0005183211	0.0443971050	0.0047376240	0.1902447911	0.0000003059	0.0311214919	0.2393798260	0.2710196390	0.0000000000	0.0000000000	0.0000000000	0        	1
3	0.0003849890	0.0435845139	0.0047261370	0.1874017669	0.1859412570	0.0311736651	0.4216536749	0.4532123290	0.0000000000	0.0000000000	0.0000000000	0        	1
4	0.0005983671	0.0420490978	0.0209776580	0.1923371661	0.1846009081	0.0303968908	0.4399648299	0.4709600878	0.0000000000	0.0000000000	0.0000000000	1        	1
5	0.0003823400	0.0414195950	0.0172541039	0.1903008400	0.1841306221	0.0300585721	0.4331051609	0.4635460731	-0.0044033527	0.0014345646	0.0009350777	1        	1
6	0.0006533950	0.0446519919	0.0175943491	0.1912778730	0.1837255459	0.0309013030	0.4372497599	0.4688044579	-0.0028597116	0.0010733604	0.0000697374	1        	1
7	0.0004440721	0.0455053870	0.0175689920	0.1906778470	0.1837096219	0.0311506810	0.4374618479	0.4690566009	-0.0029616356	0.0005717278	0.0003674030	1        	1
8	0.0006427302	0.0405875149	0.0166484641	0.1948824420	0.1835988429	0.0308529870	0.4357172640	0.4672129811	-0.0042091608	0.0007398129	0.0002280474	1        	1
9	0.0003853580	0.0420179239	0.0175091140	0.1939595609	0.1835353170	0.0306740792	0.4370219158	0.4680813530	-0.0062565804	0.0000250340	0.0002703667	1        	1
10	0.0006060952	0.0430153259	0.0175703231	0.1942571979	0.1833391150	0.0309515381	0.4381819619	0.4697395952	-0.0061200857	0.0011765957	0.0008550882	1        	1
11	0.0003797789	0.0430753550	0.0175256911	0.1926468159	0.1835333940	0.0309271701	0.4367812560	0.4680882050	-0.0069133043	0.0004067421	0.0015645027	1        	1
12	0.0005596790	0.0442470850	0.0235968311	0.1872698499	0.1837610060	0.0315556121	0.4388747721	0.4709900632	-0.0068242550	0.0000526905	0.0007609129	1        	1
13	0.0003828928	0.0437793492	0.0175449338	0.1894984562	0.1845354519	0.0313784350	0.4353581911	0.4671195189	-0.0100191832	-0.0002312660	0.0013159513	1        	1
14	0.0003822180	0.0455380930	0.0175064250	0.1887173159	0.1839438090	0.0312048080	0.4357056429	0.4672926690	-0.0095462799	0.0007183552	0.0007405281	1        	1
15	0.0006245421	0.0415663258	0.0174778251	0.1885784110	0.1841556909	0.0311605672	0.4317782528	0.4635633621	-0.0133172274	0.0020394325	0.0015349388	1        	1
16	0.0003827822	0.0452607758	0.0227308462	0.1885710780	0.1842234130	0.0312261768	0.4407861130	0.4723950720	-0.0121378899	0.0004093647	0.0004671812	1        	1
17	0.0006482161	0.0440147289	0.0262101151	0.1893210979	0.1849245310	0.0305339950	0.4444704729	0.4756526840	-0.0147660971	-0.0012850761	-0.0010547638	1        	1
18	0.0004225969	0.0465373241	0.0210271110	0.1883121058	0.1844300521	0.0310601811	0.4403065930	0.4717893710	-0.0160415173	-0.0010716915	-0.0000128746	1        	1
19	0.0005673638	0.0457157290	0.0202003650	0.1881517952	0.1843524498	0.0302081262	0.4384203390	0.4691958290	-0.0175904036	-0.0009224415	-0.0004407167	1        	1
20	0.0004378119	0.0464334812	0.0262630540	0.1881015101	0.1846223390	0.0309218578	0.4454203842	0.4767800539	-0.0207778215	-0.0021901131	-0.0008231401	1        	1
21	0.0006194981	0.0429307639	0.0271439010	0.1923116229	0.1849359630	0.0303464481	0.4473222508	0.4782881970	-0.0236854553	-0.0012745857	-0.0004740953	1        	1
22	0.0004302121	0.0440776420	0.0302327180	0.1887842740	0.1851329689	0.0297946080	0.4482276030	0.4784524231	-0.0296022892	-0.0021123886	-0.0009407997	1        	1
23	0.0005572701	0.0450406349	0.0211805201	0.1879463929	0.1850750512	0.0309972898	0.4392425991	0.4707971590	-0.0291479826	-0.0029847622	-0.0025975704	1        	1
24	0.0003811929	0.0446337331	0.0280280870	0.1925494999	0.1850965971	0.0304003379	0.4503079171	0.4810894479	-0.0367721319	-0.0014646053	-0.0031934977	1        	1
25	0.0005619260	0.0442584979	0.0211529401	0.1894684921	0.1853972529	0.0307706520	0.4402771830	0.4716097610	-0.0383723974	-0.0000786781	-0.0039557219	1        	1
